index	group
MIS3-1_1.fasta_18S	MT_S
MIS3-1_.fasta_18S	MG_S
MIS3-3_1.fasta_18S	MT_S
MIS3-3_.fasta_18S	MG_S
MIS3-5_1.fasta_18S	MT_S
MIS3-5_.fasta_18S	MG_S
MIS4-1_1.fasta_18S	MT_S
MIS4-1_.fasta_18S	MG_S
MIS4-3_1.fasta_18S	MT_S
MIS4-3_.fasta_18S	MG_S
MIS4-5_1.fasta_18S	MT_S
MIS4-5_.fasta_18S	MG_S
WRNA01.assembled.fasta_18S	WT_W
WRNA02.assembled.fasta_18S	WT_W
WRNA03.assembled.fasta_18S	WT_W
WRNA04.assembled.fasta_18S	WT_W
WRNA05.assembled.fasta_18S	WT_W
WRNA06.assembled.fasta_18S	WT_W
WRNA07.assembled.fasta_18S	WT_W
WRNA08.assembled.fasta_18S	WT_W
WRNA09.assembled.fasta_18S	WT_W
WRNA10.assembled.fasta_18S	WT_W
WRNA11.assembled.fasta_18S	WT_W
WRNA12.assembled.fasta_18S	WT_W
WRNA13.assembled.fasta_18S	WT_W
WRNA14.assembled.fasta_18S	WT_W
WRNA15.assembled.fasta_18S	WT_W
WRNA16.assembled.fasta_18S	WT_W
WDNA09_1.fasta_18S	WG_W
WDNA03_1.fasta_18S	WG_W
WDNA06_1.fasta_18S	WG_W
WDNA11_1.fasta_18S	WG_W
WDNA13_1.fasta_18S	WG_W
WDNA12_1.fasta_18S	WG_W
WDNA10_1.fasta_18S	WG_W
WDNA04_1.fasta_18S	WG_W
WDNA08_1.fasta_18S	WG_W
WDNA02_1.fasta_18S	WG_W
WDNA07_1.fasta_18S	WG_W
WDNA05_1.fasta_18S	WG_W
WDNA01_1.fasta_18S	WG_W
WDNA14_1.fasta_18S	WG_W
WDNA16_1.fasta_18S	WG_W
WDNA15_1.fasta_18S	WG_W
