taxonomy	WRNA01	WRNA02	WRNA03	WRNA04	WRNA05	WRNA06	WRNA07	WRNA08	WRNA09	WRNA10	WRNA11	WRNA12
Marine_Methylotrophic_Group_2	0.113959269	0.05779741	0.077757496	0.10336729	0.077117399	0.061591766	0.091569742	0.060590611	0.066909187	0.095898599	0.048403211	0.084152773
Marinimicrobia_(SAR406_clade)	0.067987118	0.051678885	0.065713504	0.066695222	0.085034165	0.063270875	0.076744047	0.036795215	0.034753911	0.066654121	0.041595008	0.067586314
AEGEAN-169_marine_group	0.046498303	0.052574537	0.060333166	0.080446077	0.042276198	0.059100157	0.043265891	0.02864373	0.042754526	0.053801658	0.023704079	0.035028211
SAR202_clade	0.038628586	0.039594201	0.052796065	0.056617109	0.051212624	0.044858945	0.03352474	0.023172753	0.027284255	0.046672415	0.035303351	0.056242142
Clade_II	0.037706538	0.010217196	0.06648779	0.043848093	0.062823199	0.041271794	0.053530887	0.031562727	0.029299335	0.046437226	0.024343756	0.043395083
Nitrosopumilaceae	0.031105193	0.009642176	0.04560603	0.025358354	0.051454602	0.040611639	0.022655061	0.015611779	0.008829391	0.035091724	0.024097495	0.050409445
SAR324_clade(Marine_group_B)	0.034276122	0.022546992	0.03397108	0.031354129	0.035114521	0.034353897	0.031375923	0.017161961	0.015544903	0.031800061	0.016509467	0.034860038
Alteromonas	0.000933672	0.000776409	0.002545145	0.006021321	0.000479583	0.023485888	0.004007623	0.190077552	0.000661032	0.001270287	0.05947092	0.001471744
Marine_Group_II	0.019427626	0.013724285	0.037883001	0.020078734	0.035192507	0.029407308	0.017615731	0.014629974	0.00612627	0.022810742	0.014221046	0.02442525
Pseudomonas	0.015934646	0.030132877	0.001076729	0.00203606	0.002704761	0.110694687	0.006310808	0.006966178	0.002610008	0.000709692	0.018633714	0.003319876
Arctic97B-4_marine_group	0.01846968	0.005878051	0.018708471	0.013262064	0.018119203	0.013775024	0.012240264	0.009406768	0.008030467	0.021462278	0.013369145	0.021877728
Acinetobacter	0.006027672	0.010194009	0.000918897	0.000791943	0.007311091	0.008517922	0.017610251	0.005839422	0.07273977	0.002099388	0.019985144	0.005577321
Poribacteria	0.012326112	0.010690858	0.01840107	0.014851911	0.02067455	0.012199142	0.01356061	0.006992598	0.005895975	0.011959369	0.006506884	0.010501523
