bin	Phylum
bin110	Thermoproteota
bin121	Thermoplasmatota
bin126	Thermoplasmatota
bin151	Thermoplasmatota
bin153	Thermoplasmatota
bin22	Thermoplasmatota
bin249	Thermoplasmatota
bin257	Thermoproteota
bin261	Thermoproteota
bin275	Thermoplasmatota
bin28	Thermoplasmatota
bin310	Thermoplasmatota
bin32	Thermoplasmatota
bin421	Thermoproteota
bin422	Thermoproteota
bin423	Thermoproteota
bin63	Thermoplasmatota
bin81	Thermoplasmatota
bin1	Marinisomatota
bin10	Pseudomonadota
bin100	Pseudomonadota
bin101	Planctomycetota
bin102	Pseudomonadota
bin103	Planctomycetota
bin104	Pseudomonadota
bin105	Planctomycetota
bin106	Pseudomonadota
bin107	Planctomycetota
bin108	Actinomycetota
bin109	Planctomycetota
bin11	Pseudomonadota
bin111	Acidobacteriota
bin112	Acidobacteriota
bin113	Acidobacteriota
bin114	Bacteroidota
bin115	Planctomycetota
bin116	Pseudomonadota
bin117	Planctomycetota
bin118	Bacteroidota
bin119	Pseudomonadota
bin12	Pseudomonadota
bin120	Pseudomonadota
bin122	Pseudomonadota
bin123	Pseudomonadota
bin124	Actinomycetota
bin125	Bacteroidota
bin127	Planctomycetota
bin128	Planctomycetota
bin129	Pseudomonadota
bin13	Bacteroidota
bin130	Pseudomonadota
bin131	Planctomycetota
bin132	Actinomycetota
bin133	Gemmatimonadota
bin134	Pseudomonadota
bin135	Bacteroidota
bin136	Bacteroidota
bin137	Myxococcota
bin138	Pseudomonadota
bin139	Myxococcota_A
bin14	Pseudomonadota
bin140	Pseudomonadota
bin141	Pseudomonadota
bin142	Myxococcota
bin143	Pseudomonadota
bin144	Planctomycetota
bin145	Pseudomonadota
bin146	Planctomycetota
bin147	Pseudomonadota
bin148	Pseudomonadota
bin149	Bacillota
bin15	Pseudomonadota
bin150	Pseudomonadota
bin152	Planctomycetota
bin154	Pseudomonadota
bin155	Actinomycetota
bin156	Actinomycetota
bin157	Pseudomonadota
bin158	SAR324
bin159	Chloroflexota
bin16	Pseudomonadota
bin160	Planctomycetota
bin161	Pseudomonadota
bin162	Bacteroidota
bin163	Pseudomonadota
bin164	Bacteroidota
bin165	Pseudomonadota
bin166	Pseudomonadota
bin167	Myxococcota
bin168	Planctomycetota
bin169	Chloroflexota
bin17	Pseudomonadota
bin170	Pseudomonadota
bin171	Pseudomonadota
bin172	Pseudomonadota
bin173	Pseudomonadota
bin174	Pseudomonadota
bin175	SAR324
bin176	Bacteroidota
bin177	Actinomycetota
bin178	Actinomycetota
bin179	Actinomycetota
bin18	Pseudomonadota
bin180	Pseudomonadota
bin181	Pseudomonadota
bin182	Cyanobacteriota
bin183	Pseudomonadota
bin184	Pseudomonadota
bin185	Bacteroidota
bin186	Bacteroidota
bin187	Pseudomonadota
bin188	Bacteroidota
bin189	Chloroflexota
bin19	Pseudomonadota
bin190	Pseudomonadota
bin191	Pseudomonadota
bin192	Pseudomonadota
bin193	Pseudomonadota
bin194	Acidobacteriota
bin195	Verrucomicrobiota
bin196	Planctomycetota
bin197	Pseudomonadota
bin198	Myxococcota
bin199	Bdellovibrionota
bin2	Pseudomonadota
bin20	Planctomycetota
bin200	SAR324
bin201	Actinomycetota
bin202	Pseudomonadota
bin203	Bacillota
bin204	Patescibacteria
bin205	Cyanobacteriota
bin206	Pseudomonadota
bin207	Bacteroidota
bin208	Pseudomonadota
bin209	Pseudomonadota
bin21	Calditrichota
bin210	Acidobacteriota
bin211	Pseudomonadota
bin212	Chloroflexota
bin213	Verrucomicrobiota
bin214	Pseudomonadota
bin215	Myxococcota
bin216	Chlamydiota
bin217	Pseudomonadota
bin218	Myxococcota
bin219	Verrucomicrobiota
bin220	Actinomycetota
bin221	Pseudomonadota
bin222	Pseudomonadota
bin223	Planctomycetota
bin224	Pseudomonadota
bin225	Pseudomonadota
bin226	Pseudomonadota
bin227	Bacillota
bin228	Pseudomonadota
bin229	Pseudomonadota
bin23	Pseudomonadota
bin230	Elusimicrobiota
bin231	Bacteroidota
bin232	Actinomycetota
bin233	Pseudomonadota
bin234	Patescibacteria
bin235	Pseudomonadota
bin236	Bacteroidota
bin237	Pseudomonadota
bin238	Pseudomonadota
bin239	Planctomycetota
bin24	Pseudomonadota
bin240	Pseudomonadota
bin241	Pseudomonadota
bin242	Pseudomonadota
bin243	Pseudomonadota
bin244	Pseudomonadota
bin245	Pseudomonadota
bin246	Chloroflexota
bin247	Pseudomonadota
bin248	Actinomycetota
bin25	Patescibacteria
bin250	Pseudomonadota
bin251	Bacteroidota
bin252	Pseudomonadota
bin253	Pseudomonadota
bin254	Verrucomicrobiota
bin255	Pseudomonadota
bin256	Actinomycetota
bin258	Marinisomatota
bin259	Verrucomicrobiota
bin26	Chloroflexota
bin260	Pseudomonadota
bin262	Nitrospinota
bin263	Pseudomonadota
bin264	Pseudomonadota
bin265	Pseudomonadota
bin266	Pseudomonadota
bin267	Pseudomonadota
bin268	Actinomycetota
bin269	Bacteroidota
bin27	Pseudomonadota
bin270	Pseudomonadota
bin271	Pseudomonadota
bin272	Gemmatimonadota
bin273	Pseudomonadota
bin274	Marinisomatota
bin276	Marinisomatota
bin277	Marinisomatota
bin278	Pseudomonadota
bin279	Bacteroidota
bin280	Planctomycetota
bin281	Verrucomicrobiota
bin282	Bacteroidota
bin283	Pseudomonadota
bin284	Pseudomonadota
bin285	Acidobacteriota
bin286	Pseudomonadota
bin287	Pseudomonadota
bin288	Pseudomonadota
bin289	Pseudomonadota
bin29	Pseudomonadota
bin290	Pseudomonadota
bin291	Pseudomonadota
bin292	Pseudomonadota
bin293	Pseudomonadota
bin294	Pseudomonadota
bin295	Pseudomonadota
bin296	Actinomycetota
bin297	Pseudomonadota
bin298	Pseudomonadota
bin299	Pseudomonadota
bin3	Pseudomonadota
bin30	Pseudomonadota
bin300	Pseudomonadota
