Genome	SR1	SR2	SR3	SR4	SR5	SR6	WRNA01	WRNA02	WRNA03	WRNA04	WRNA05	WRNA06	WRNA07	WRNA08	WRNA09	WRNA10	WRNA11	WRNA12	ko.number
bin1_1_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
bin1_1_10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
bin1_1_100	0	0	0	0	0	0	0	0	0	0	3.542587	0	0	0	0	0	0	0	NA
bin1_1_101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
bin1_1_102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
bin1_1_103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
bin1_1_104	0	0	0	0	0	0	0	0	0	0	2.667422	0	0	0	0	0	0	0	NA
bin1_1_105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
bin1_1_106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	K11991
bin1_1_107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	K07107
bin1_1_108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	K18930
bin1_1_109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
bin1_1_11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	K03702
bin1_1_110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
bin1_1_111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
bin1_1_112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
bin1_1_113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	K02343
bin1_1_114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	K09747
bin1_1_115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	K06187
bin1_1_116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	K00995
