KO	SR1	SR2	SR3	SR4	SR5	SR6	WRNA01	WRNA02	WRNA03	WRNA04	WRNA05	WRNA06	WRNA07	WRNA08	WRNA09	WRNA10	WRNA11	WRNA12	gene
K00001	2.472072	2.456425	5.998551	0	0	8.17808	0	0	0	0	0	0	0	0	0	0	0	0	"E1.1.1.1,_adh;_alcohol_dehydrogenase"
K00002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"AKR1A1,_adh;_alcohol_dehydrogenase_(NADP+)"
K00003	56.685213	19.015943	36.058157	21.886817	30.294521	48.272455	157.18621	32.26993	112.551142	69.92221	141.190366	159.50261	2169.54931	715.745574	25.79014	219.2392423	172.32798	208.109665	hom;_homoserine_dehydrogenase
K00004	10.277097	0	8.416785	0	2.632188	2.862708	11.512524	0	0	0	4.706997	0	0	0	15.74966	8.579971	7.622831	0	"BDH,_butB;_(R,R)-butanediol_dehydrogenase_/_meso-butanediol_dehydrogenase_/_diacetyl_reductase"
K00005	2.596019	0	4.234934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	gldA;_glycerol_dehydrogenase
K00007	0	0	0	0	1.968657	0	0	0	0	0	0	0	0	0	0	1.038762	5.574196	0	dalD;_D-arabinitol_4-dehydrogenase
K00008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.269484	0	0	"SORD,_gutB;_L-iditol_2-dehydrogenase"
K00009	0	2.496151	0	0	0	0	0	0	0	0	0	2.205656	0	0	0	0	0	0	mtlD;_mannitol-1-phosphate_5-dehydrogenase
K00010	18.32527	15.60795	17.410762	9.823649	2.654368	2.886831	40.17557	0	0	15.00725	33.479446	14.94393	0	11.76244	31.76477	63.68254	7.515766	12.29818	iolG;_myo-inositol_2-dehydrogenase_/_D-chiro-inositol_1-dehydrogenase
K00012	50.361473	30.538999	27.469593	36.594251	13.462781	28.747757	79.520552	32.33138	59.724038	36.0164	176.396434	326.241904	76.561363	9.538567	82.66686	214.285912	100.003539	14.893068	"UGDH,_ugd;_UDPglucose_6-dehydrogenase"
K00013	53.286163	21.358173	45.439015	38.265573	32.575338	45.017027	4.729658	30.670743	24.663726	115.0216	69.966426	86.166739	0	9.452431	0	11.683956	0	45.6058	hisD;_histidinol_dehydrogenase
K00014	67.003149	20.049133	11.141036	43.999053	6.836929	39.875759	160.157838	31.39006	31.67686	0	113.840289	25.847447	483.1408	0	20.56046	23.172995	9.487996	0	aroE;_shikimate_dehydrogenase
